month,atm_total_units,atm_baku_units,atm_regions_units,pos_total_units,contactless_pos_total_units,retail_service_pos_total_units,retail_service_pos_baku_units,baku_pos_total_units,source_file,bulletin_period,country_name,country_iso
2007-01-01,1080,655,425,2099,,1584,1437,1743,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-02-01,1089,665,424,2134,,1607,1455,1766,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-03-01,1105,677,428,2234,,1685,1518,1852,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-04-01,1122,695,427,2558,,2024,1856,2171,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-05-01,1138,703,435,2768,,2227,2057,2382,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-06-01,1161,725,436,3119,,2567,2396,2728,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-07-01,1186,735,451,3721,,3144,2971,3324,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-08-01,1204,748,456,4039,,3470,3291,3629,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-09-01,1237,768,469,4262,,3683,3503,3844,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-10-01,1259,783,476,4494,,3907,3725,4078,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
